City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,cehegin,38.0924,-1.7985,4.61,50,0,1.83,ES,1675482877
114,mandalgovi,45.7625,106.2708,-6.94,29,10,6.36,MN,1675482877
115,sungaipenuh,-2.0833,101.3833,25.45,58,100,2.12,ID,1675482878
116,cap malheureux,-19.9842,57.6142,26.93,83,63,0.45,MU,1675482283
117,almaznyy,48.0448,40.045,-0.4,98,100,3.94,RU,1675482878
118,nanortalik,60.1432,-45.2371,-12.53,80,100,6.75,GL,1675482283
119,cam ranh,11.9214,109.1591,28.98,61,20,5.14,VN,1675482879
120,greeley,40.4233,-104.7091,6.59,68,100,2.33,US,1675482616
121,christchurch,-43.5333,172.6333,30.82,43,0,7.2,NZ,1675482879
122,finschhafen,-6.6024,147.8681,28.57,78,98,2.62,PG,1675482879
123,daru,-9.0763,143.2092,30.37,67,100,4.55,PG,1675482319
124,celle,52.6226,10.0805,4.53,89,40,1.03,DE,1675482880
125,yar-sale,66.8333,70.8333,-16.12,100,93,2.48,RU,1675482880
126,impfondo,1.6381,18.0667,21.98,62,50,0.45,CG,1675482881
127,bengkulu,-3.8004,102.2655,28.26,68,99,3.31,ID,1675482859
128,yellowknife,62.456,-114.3525,-24.69,77,75,2.57,CA,1675482838
129,saint-augustin,51.226,-58.6502,-18.77,80,65,8.26,CA,1675482352
130,hermanus,-34.4187,19.2345,19.33,85,0,4.48,ZA,1675482830
131,fortuna,40.5982,-124.1573,10.92,82,0,5.14,US,1675482066
132,paamiut,61.994,-49.6678,-12.99,93,100,4.26,GL,1675482396
133,tiksi,71.6872,128.8694,-34.81,100,99,0.64,RU,1675482881
134,port blair,11.6667,92.75,28.02,74,40,5.14,IN,1675482828
135,sheridan,44.8333,-106.9173,5.17,77,0,2.57,US,1675482499
136,ilulissat,69.2167,-51.1,-12.99,85,100,5.66,GL,1675482882
137,port augusta,-32.5,137.7667,22.62,44,11,6.75,AU,1675482882
